Disease,Question,Category,Answer
Congenital Pulmonary Airway Malformation (CPAM),Treatment,What is the recommended management protocol for children with Congenital Pulmonary Airway Malformation (CPAM)?,"Treatment depends on the size and symptoms. Asymptomatic cases are monitored, while symptomatic or large lesions may require surgical resection (lobectomy). Prenatal interventions like thoracoamniotic shunting may be considered in severe cases detected during pregnancy."
Bronchiolitis,Treatment,How is Bronchiolitis treated in children?,"Treatment is supportive, including nasal suctioning, hydration, and oxygen therapy if needed. Most cases are managed at home, but severe cases may require hospitalization. Bronchodilators and corticosteroids are not routinely recommended unless there is an underlying reactive airway disease."
Congenital Pulmonary Airway Malformation (CPAM),Aetiology,What causes Congenital Pulmonary Airway Malformation (CPAM) in children?,"CPAM is a congenital abnormality of lung development characterized by cystic or solid overgrowth of abnormal lung tissue. The exact cause is unknown, but it results from abnormal embryonic development of the terminal bronchioles during the first trimester."
Pulmonary Hypertension in Pediatrics,Symptoms,How does Pulmonary Hypertension in Pediatrics present clinically in pediatric patients?,"Symptoms include shortness of breath, fatigue, chest pain, syncope, and poor growth. Infants may present with failure to thrive and cyanosis. As the condition worsens, signs of right heart failure such as edema and hepatomegaly may appear."
Pneumonia in Children,Treatment,How is Pneumonia in Children treated in children?,"Treatment depends on the cause and severity. Mild viral pneumonia may resolve with supportive care, including fluids, rest, and antipyretics. Bacterial pneumonia requires antibiotics such as amoxicillin or macrolides. Severe cases may require hospitalization, oxygen therapy, and intravenous antibiotics."
Bronchiolitis,Treatment,What is the recommended management protocol for children with Bronchiolitis?,"Treatment is supportive, including nasal suctioning, hydration, and oxygen therapy if needed. Most cases are managed at home, but severe cases may require hospitalization. Bronchodilators and corticosteroids are not routinely recommended unless there is an underlying reactive airway disease."
Congenital Pulmonary Airway Malformation (CPAM),Symptoms,What signs should parents look for in a child with Congenital Pulmonary Airway Malformation (CPAM)?,"Symptoms can range from none to severe respiratory distress at birth. Common signs include tachypnea, cyanosis, decreased breath sounds, and mediastinal shift. Some cases are detected prenatally via ultrasound showing lung masses or cysts."
Bronchiolitis,Aetiology,What are the underlying causes of Bronchiolitis in pediatric patients?,"Bronchiolitis is a common lower respiratory tract infection in infants, primarily caused by respiratory syncytial virus (RSV). Other viruses like rhinovirus, adenovirus, and influenza can also be responsible. It affects the small airways, leading to inflammation, swelling, and mucus production."
Pulmonary Hypertension in Pediatrics,Aetiology,Can you explain the aetiology of Pulmonary Hypertension in Pediatrics?,"Pediatric pulmonary hypertension may be idiopathic or secondary to congenital heart defects, chronic lung diseases (e.g., BPD), left heart disease, or thromboembolic disease. It results from increased pulmonary vascular resistance leading to right heart strain."
Pulmonary Hypertension in Pediatrics,Aetiology,Which organisms or factors are responsible for Pulmonary Hypertension in Pediatrics?,"Pediatric pulmonary hypertension may be idiopathic or secondary to congenital heart defects, chronic lung diseases (e.g., BPD), left heart disease, or thromboembolic disease. It results from increased pulmonary vascular resistance leading to right heart strain."
Congenital Pulmonary Airway Malformation (CPAM),Symptoms,What are the symptoms of Congenital Pulmonary Airway Malformation (CPAM) in children?,"Symptoms can range from none to severe respiratory distress at birth. Common signs include tachypnea, cyanosis, decreased breath sounds, and mediastinal shift. Some cases are detected prenatally via ultrasound showing lung masses or cysts."
Pneumonia in Children,Symptoms,What are common clinical features of Pneumonia in Children in infants and children?,"Children with pneumonia may present with fever, cough, fast breathing, chest indrawing, nasal flaring, grunting, and crackles on auscultation. In severe cases, cyanosis, lethargy, refusal to feed, and difficulty breathing may occur. Infants may have subtle signs like irritability and vomiting."
Congenital Pulmonary Airway Malformation (CPAM),Aetiology,Which organisms or factors are responsible for Congenital Pulmonary Airway Malformation (CPAM)?,"CPAM is a congenital abnormality of lung development characterized by cystic or solid overgrowth of abnormal lung tissue. The exact cause is unknown, but it results from abnormal embryonic development of the terminal bronchioles during the first trimester."
Pneumonia in Children,Aetiology,What causes Pneumonia in Children in children?,"Pneumonia in children is most commonly caused by infectious agents such as viruses, bacteria, and, less frequently, fungi. Common viral causes include respiratory syncytial virus (RSV), influenza, and adenovirus, while bacterial pneumonia is frequently caused by Streptococcus pneumoniae, Haemophilus influenzae type b (Hib), and Staphylococcus aureus. The risk increases in children with weakened immune systems, malnutrition, or exposure to environmental pollutants and secondhand smoke."
Pneumonia in Children,Aetiology,Which organisms or factors are responsible for Pneumonia in Children?,"Pneumonia in children is most commonly caused by infectious agents such as viruses, bacteria, and, less frequently, fungi. Common viral causes include respiratory syncytial virus (RSV), influenza, and adenovirus, while bacterial pneumonia is frequently caused by Streptococcus pneumoniae, Haemophilus influenzae type b (Hib), and Staphylococcus aureus. The risk increases in children with weakened immune systems, malnutrition, or exposure to environmental pollutants and secondhand smoke."
Bronchiolitis,Symptoms,What are common clinical features of Bronchiolitis in infants and children?,"Symptoms include a runny nose, cough, wheezing, difficulty breathing, rapid breathing, and feeding difficulties. Infants may also show signs of irritability, apnea, and chest retractions. Symptoms typically worsen over 3–5 days before improving."
Pneumonia in Children,Treatment,What medications or therapies are used to manage Pneumonia in Children in children?,"Treatment depends on the cause and severity. Mild viral pneumonia may resolve with supportive care, including fluids, rest, and antipyretics. Bacterial pneumonia requires antibiotics such as amoxicillin or macrolides. Severe cases may require hospitalization, oxygen therapy, and intravenous antibiotics."
Pulmonary Hypertension in Pediatrics,Aetiology,What causes Pulmonary Hypertension in Pediatrics in children?,"Pediatric pulmonary hypertension may be idiopathic or secondary to congenital heart defects, chronic lung diseases (e.g., BPD), left heart disease, or thromboembolic disease. It results from increased pulmonary vascular resistance leading to right heart strain."
Tuberculosis in Children,Aetiology,What are the underlying causes of Tuberculosis in Children in pediatric patients?,Tuberculosis (TB) in children is caused by infection with Mycobacterium tuberculosis. It is usually acquired through inhalation of airborne droplets from an infected adult. Young children and infants are particularly vulnerable due to their immature immune systems.
Bronchiolitis,Aetiology,Which organisms or factors are responsible for Bronchiolitis?,"Bronchiolitis is a common lower respiratory tract infection in infants, primarily caused by respiratory syncytial virus (RSV). Other viruses like rhinovirus, adenovirus, and influenza can also be responsible. It affects the small airways, leading to inflammation, swelling, and mucus production."
Pneumonia in Children,Symptoms,How does Pneumonia in Children present clinically in pediatric patients?,"Children with pneumonia may present with fever, cough, fast breathing, chest indrawing, nasal flaring, grunting, and crackles on auscultation. In severe cases, cyanosis, lethargy, refusal to feed, and difficulty breathing may occur. Infants may have subtle signs like irritability and vomiting."
Pneumonia in Children,Treatment,What is the standard treatment for pediatric Pneumonia in Children?,"Treatment depends on the cause and severity. Mild viral pneumonia may resolve with supportive care, including fluids, rest, and antipyretics. Bacterial pneumonia requires antibiotics such as amoxicillin or macrolides. Severe cases may require hospitalization, oxygen therapy, and intravenous antibiotics."
Tuberculosis in Children,Treatment,What is the standard treatment for pediatric Tuberculosis in Children?,"Treatment involves a combination of anti-tuberculosis drugs given over 6–9 months. The standard regimen includes isoniazid, rifampin, pyrazinamide, and ethambutol. Adherence to therapy is crucial to avoid drug resistance. Severe or extrapulmonary TB may require extended treatment and corticosteroids."
Bronchiolitis,Symptoms,How can I recognize Bronchiolitis in a child?,"Symptoms include a runny nose, cough, wheezing, difficulty breathing, rapid breathing, and feeding difficulties. Infants may also show signs of irritability, apnea, and chest retractions. Symptoms typically worsen over 3–5 days before improving."
Congenital Pulmonary Airway Malformation (CPAM),Aetiology,Can you explain the aetiology of Congenital Pulmonary Airway Malformation (CPAM)?,"CPAM is a congenital abnormality of lung development characterized by cystic or solid overgrowth of abnormal lung tissue. The exact cause is unknown, but it results from abnormal embryonic development of the terminal bronchioles during the first trimester."
Pulmonary Hypertension in Pediatrics,Treatment,What is the recommended management protocol for children with Pulmonary Hypertension in Pediatrics?,"Management includes treating the underlying cause and using medications like endothelin receptor antagonists, phosphodiesterase-5 inhibitors (e.g., sildenafil), and prostacyclin analogs. Supportive care includes oxygen therapy, diuretics, and in some cases, heart-lung transplantation."
Bronchiolitis,Treatment,What medications or therapies are used to manage Bronchiolitis in children?,"Treatment is supportive, including nasal suctioning, hydration, and oxygen therapy if needed. Most cases are managed at home, but severe cases may require hospitalization. Bronchodilators and corticosteroids are not routinely recommended unless there is an underlying reactive airway disease."
Tuberculosis in Children,Treatment,How do doctors manage cases of Tuberculosis in Children in pediatric care?,"Treatment involves a combination of anti-tuberculosis drugs given over 6–9 months. The standard regimen includes isoniazid, rifampin, pyrazinamide, and ethambutol. Adherence to therapy is crucial to avoid drug resistance. Severe or extrapulmonary TB may require extended treatment and corticosteroids."
Pulmonary Hypertension in Pediatrics,Aetiology,What are the underlying causes of Pulmonary Hypertension in Pediatrics in pediatric patients?,"Pediatric pulmonary hypertension may be idiopathic or secondary to congenital heart defects, chronic lung diseases (e.g., BPD), left heart disease, or thromboembolic disease. It results from increased pulmonary vascular resistance leading to right heart strain."
Bronchiolitis,Symptoms,How does Bronchiolitis present clinically in pediatric patients?,"Symptoms include a runny nose, cough, wheezing, difficulty breathing, rapid breathing, and feeding difficulties. Infants may also show signs of irritability, apnea, and chest retractions. Symptoms typically worsen over 3–5 days before improving."
Pneumonia in Children,Treatment,What is the recommended management protocol for children with Pneumonia in Children?,"Treatment depends on the cause and severity. Mild viral pneumonia may resolve with supportive care, including fluids, rest, and antipyretics. Bacterial pneumonia requires antibiotics such as amoxicillin or macrolides. Severe cases may require hospitalization, oxygen therapy, and intravenous antibiotics."
Tuberculosis in Children,Treatment,How is Tuberculosis in Children treated in children?,"Treatment involves a combination of anti-tuberculosis drugs given over 6–9 months. The standard regimen includes isoniazid, rifampin, pyrazinamide, and ethambutol. Adherence to therapy is crucial to avoid drug resistance. Severe or extrapulmonary TB may require extended treatment and corticosteroids."
Congenital Pulmonary Airway Malformation (CPAM),Aetiology,How do children typically develop Congenital Pulmonary Airway Malformation (CPAM)?,"CPAM is a congenital abnormality of lung development characterized by cystic or solid overgrowth of abnormal lung tissue. The exact cause is unknown, but it results from abnormal embryonic development of the terminal bronchioles during the first trimester."
Pneumonia in Children,Symptoms,What are the symptoms of Pneumonia in Children in children?,"Children with pneumonia may present with fever, cough, fast breathing, chest indrawing, nasal flaring, grunting, and crackles on auscultation. In severe cases, cyanosis, lethargy, refusal to feed, and difficulty breathing may occur. Infants may have subtle signs like irritability and vomiting."
Pneumonia in Children,Aetiology,Can you explain the aetiology of Pneumonia in Children?,"Pneumonia in children is most commonly caused by infectious agents such as viruses, bacteria, and, less frequently, fungi. Common viral causes include respiratory syncytial virus (RSV), influenza, and adenovirus, while bacterial pneumonia is frequently caused by Streptococcus pneumoniae, Haemophilus influenzae type b (Hib), and Staphylococcus aureus. The risk increases in children with weakened immune systems, malnutrition, or exposure to environmental pollutants and secondhand smoke."
Tuberculosis in Children,Aetiology,Which organisms or factors are responsible for Tuberculosis in Children?,Tuberculosis (TB) in children is caused by infection with Mycobacterium tuberculosis. It is usually acquired through inhalation of airborne droplets from an infected adult. Young children and infants are particularly vulnerable due to their immature immune systems.
Bronchiolitis,Aetiology,How do children typically develop Bronchiolitis?,"Bronchiolitis is a common lower respiratory tract infection in infants, primarily caused by respiratory syncytial virus (RSV). Other viruses like rhinovirus, adenovirus, and influenza can also be responsible. It affects the small airways, leading to inflammation, swelling, and mucus production."
Pneumonia in Children,Aetiology,How do children typically develop Pneumonia in Children?,"Pneumonia in children is most commonly caused by infectious agents such as viruses, bacteria, and, less frequently, fungi. Common viral causes include respiratory syncytial virus (RSV), influenza, and adenovirus, while bacterial pneumonia is frequently caused by Streptococcus pneumoniae, Haemophilus influenzae type b (Hib), and Staphylococcus aureus. The risk increases in children with weakened immune systems, malnutrition, or exposure to environmental pollutants and secondhand smoke."
Bronchiolitis,Symptoms,What signs should parents look for in a child with Bronchiolitis?,"Symptoms include a runny nose, cough, wheezing, difficulty breathing, rapid breathing, and feeding difficulties. Infants may also show signs of irritability, apnea, and chest retractions. Symptoms typically worsen over 3–5 days before improving."
Pulmonary Hypertension in Pediatrics,Aetiology,How do children typically develop Pulmonary Hypertension in Pediatrics?,"Pediatric pulmonary hypertension may be idiopathic or secondary to congenital heart defects, chronic lung diseases (e.g., BPD), left heart disease, or thromboembolic disease. It results from increased pulmonary vascular resistance leading to right heart strain."
Bronchiolitis,Treatment,What is the standard treatment for pediatric Bronchiolitis?,"Treatment is supportive, including nasal suctioning, hydration, and oxygen therapy if needed. Most cases are managed at home, but severe cases may require hospitalization. Bronchodilators and corticosteroids are not routinely recommended unless there is an underlying reactive airway disease."
Congenital Pulmonary Airway Malformation (CPAM),Symptoms,What are common clinical features of Congenital Pulmonary Airway Malformation (CPAM) in infants and children?,"Symptoms can range from none to severe respiratory distress at birth. Common signs include tachypnea, cyanosis, decreased breath sounds, and mediastinal shift. Some cases are detected prenatally via ultrasound showing lung masses or cysts."
Tuberculosis in Children,Symptoms,What are the symptoms of Tuberculosis in Children in children?,"Symptoms may include a persistent cough, fever, weight loss, night sweats, fatigue, and swollen lymph nodes. Infants and younger children may also present with poor growth, irritability, and signs of disseminated TB like meningitis or miliary TB."
Tuberculosis in Children,Symptoms,What signs should parents look for in a child with Tuberculosis in Children?,"Symptoms may include a persistent cough, fever, weight loss, night sweats, fatigue, and swollen lymph nodes. Infants and younger children may also present with poor growth, irritability, and signs of disseminated TB like meningitis or miliary TB."
Pulmonary Hypertension in Pediatrics,Symptoms,What are common clinical features of Pulmonary Hypertension in Pediatrics in infants and children?,"Symptoms include shortness of breath, fatigue, chest pain, syncope, and poor growth. Infants may present with failure to thrive and cyanosis. As the condition worsens, signs of right heart failure such as edema and hepatomegaly may appear."
Pulmonary Hypertension in Pediatrics,Treatment,What medications or therapies are used to manage Pulmonary Hypertension in Pediatrics in children?,"Management includes treating the underlying cause and using medications like endothelin receptor antagonists, phosphodiesterase-5 inhibitors (e.g., sildenafil), and prostacyclin analogs. Supportive care includes oxygen therapy, diuretics, and in some cases, heart-lung transplantation."
Pulmonary Hypertension in Pediatrics,Treatment,What is the standard treatment for pediatric Pulmonary Hypertension in Pediatrics?,"Management includes treating the underlying cause and using medications like endothelin receptor antagonists, phosphodiesterase-5 inhibitors (e.g., sildenafil), and prostacyclin analogs. Supportive care includes oxygen therapy, diuretics, and in some cases, heart-lung transplantation."
Congenital Pulmonary Airway Malformation (CPAM),Symptoms,How does Congenital Pulmonary Airway Malformation (CPAM) present clinically in pediatric patients?,"Symptoms can range from none to severe respiratory distress at birth. Common signs include tachypnea, cyanosis, decreased breath sounds, and mediastinal shift. Some cases are detected prenatally via ultrasound showing lung masses or cysts."
